image	concepts
0258770b8a219c0e75dfa0731f946b14l-m9xd-w1020_h770_q80.jpg	bathroom:0.999644637108,washcloset:0.999459564686,lavatory:0.997335851192,family:0.996996641159,shower:0.996255278587,indoors:0.995215773582,room:0.993887245655,faucet:0.991604626179,hotel:0.986827015877,furniture:0.986159384251,house:0.985727131367,contemporary:0.985457777977,washroom:0.985457003117,mirror:0.982733249664,apartment:0.981714129448,bathtub:0.979795217514,bath:0.973337173462,interior design:0.972859084606,trading floor:0.958119273186,inside:0.956838071346
0258770b8a219c0e75dfa0731f946b14l-m3xd-w1020_h770_q80.jpg	contemporary:0.99861061573,family:0.997386991978,indoors:0.995218813419,empty:0.991402328014,interior design:0.985794425011,parquet:0.982546985149,house:0.962095737457,apartment:0.961766779423,minimalist:0.958811700344,comfort:0.956344604492,furniture:0.953863024712,inside:0.951932489872,room:0.951709032059,wood:0.945281207561,window:0.938876271248,renovation:0.930100917816,hardwood:0.929531157017,no person:0.927834033966,ceiling:0.921836197376,luxury:0.915184438229
0258770b8a219c0e75dfa0731f946b14l-m6xd-w1020_h770_q80.jpg	indoors:0.99711060524,family:0.990556955338,inside:0.987604737282,house:0.986659884453,door:0.986222565174,contemporary:0.984482049942,empty:0.981592953205,room:0.975801229477,window:0.964614629745,step:0.964610397816,renovation:0.956052899361,wall:0.955899059772,trading floor:0.953084766865,architecture:0.951349854469,apartment:0.950757324696,improvement:0.947300255299,doorway:0.946451306343,ceiling:0.94389975071,estate:0.941601991653,no person:0.929572761059
0258770b8a219c0e75dfa0731f946b14l-m2xd-w1020_h770_q80.jpg	indoors:0.996175527573,contemporary:0.996154606342,interior design:0.988012909889,no person:0.980077087879,empty:0.979000508785,family:0.966748893261,luxury:0.956141471863,hallway:0.943557024002,minimalist:0.931124210358,door:0.924332201481,room:0.924176216125,architecture:0.924124181271,ceiling:0.896424233913,window:0.869868576527,parquet:0.86379468441,comfort:0.852768242359,perspective:0.846279859543,wood:0.845133900642,bright:0.838744223118,house:0.834301531315
0258770b8a219c0e75dfa0731f946b14l-m7xd-w1020_h770_q80.jpg	indoors:0.998809456825,contemporary:0.996454238892,furniture:0.992031097412,empty:0.989588141441,interior design:0.989560961723,minimalist:0.986645638943,no person:0.97618085146,room:0.97464120388,parquet:0.972575187683,family:0.972397208214,comfort:0.966008007526,wood:0.945668339729,shelf:0.930124938488,ceiling:0.920918107033,inside:0.899715363979,luxury:0.887133479118,seat:0.852846801281,trading floor:0.83725810051,chair:0.822492718697,sofa:0.821376860142
0258770b8a219c0e75dfa0731f946b14l-m8xd-w1020_h770_q80.jpg	indoors:0.993277013302,contemporary:0.982936918736,family:0.979153096676,no person:0.974134027958,architecture:0.966069221497,step:0.959400892258,perspective:0.95645326376,hallway:0.95261245966,empty:0.950740873814,house:0.926410973072,door:0.925816833973,inside:0.920179069042,wall:0.911707401276,window:0.903380632401,room:0.897980332375,light:0.895378708839,modern:0.869983673096,wood:0.858226239681,passage:0.837899625301,interior design:0.834780395031
0258770b8a219c0e75dfa0731f946b14l-m4xd-w1020_h770_q80.jpg	indoors:0.997842311859,contemporary:0.996789991856,empty:0.991352617741,family:0.990728735924,interior design:0.990127980709,room:0.987554848194,house:0.979425489902,furniture:0.97882938385,apartment:0.966283679008,parquet:0.966026604176,wood:0.96553581953,minimalist:0.94534856081,comfort:0.944913446903,no person:0.940880894661,inside:0.938307821751,door:0.936753094196,luxury:0.931914389133,trading floor:0.925892591476,window:0.918232858181,ceiling:0.91378736496
0258770b8a219c0e75dfa0731f946b14l-m10xd-w1020_h770_q80.jpg	architecture:0.985156416893,window:0.982823848724,apartment:0.976328194141,no person:0.975409984589,outdoors:0.959345161915,contemporary:0.959272742271,facade:0.957418501377,glass items:0.944811701775,city:0.942101478577,building:0.928885996342,house:0.92859017849,brick:0.925503075123,family:0.92227101326,office:0.918265938759,urban:0.908429682255,modern:0.908048570156,street:0.894853115082,sky:0.873790919781,horizontal plane:0.869072258472,expression:0.858821690083
0258770b8a219c0e75dfa0731f946b14l-m1xd-w1020_h770_q80.jpg	contemporary:0.999253571033,indoors:0.998053431511,empty:0.99782538414,interior design:0.996500611305,minimalist:0.988975048065,family:0.984597146511,no person:0.980303406715,parquet:0.977637410164,room:0.976164460182,luxury:0.970093131065,comfort:0.962176322937,furniture:0.954310834408,wood:0.952318191528,architecture:0.947263896465,trading floor:0.938856303692,apartment:0.938045322895,window:0.93252748251,inside:0.891482532024,drawer:0.878574848175,door:0.867124974728
0258770b8a219c0e75dfa0731f946b14l-m5xd-w1020_h770_q80.jpg	family:0.992433071136,room:0.992413580418,furniture:0.989959716797,cabinet:0.989784181118,indoors:0.989133775234,house:0.988744497299,contemporary:0.986307919025,cupboard:0.975482583046,apartment:0.965482354164,shelf:0.963495075703,drawer:0.963092505932,trading floor:0.959228217602,empty:0.956512749195,inside:0.956220090389,wood:0.956009328365,wardrobe:0.951172709465,interior design:0.923144936562,counter:0.911570012569,home:0.910816609859,faucet:0.890206217766
0258770b8a219c0e75dfa0731f946b14l-m0xd-w1020_h770_q80.jpg	indoors:0.998176813126,contemporary:0.99673551321,empty:0.995356619358,family:0.99418759346,parquet:0.993018567562,room:0.991729795933,inside:0.99131155014,trading floor:0.988601624966,wood:0.981960177422,interior design:0.979198992252,window:0.978575348854,house:0.978574872017,hallway:0.975024104118,apartment:0.974676430225,door:0.969595551491,furniture:0.969371557236,spacious:0.968856573105,ceiling:0.966897785664,hardwood:0.965301394463,estate:0.948693931103
