image	description	categories	tags
8806aaaf4265ca8b182277d6c2520768l-m7xd-w1020_h770_q80.jpg	A room with a sink and a window	abstract_:0.0078125,indoor_doorwindows:0.73046875	wall:0.99340313673,indoor:0.968837320805,building:0.966277301311,floor:0.95811188221,apartment:0.95811188221,hotel:0.776585902102,home:0.503983154319,house:0.183337647616,remodel:0.124447638737
8806aaaf4265ca8b182277d6c2520768l-m2xd-w1020_h770_q80.jpg	A large building	building_street:0.84375	outdoor:0.999068677425,sky:0.993687212467,tree:0.976583361626,building:0.931815445423,government building:0.372361242771,city:0.191851750016,downtown:0.113232799662,architecture:0.0941455764549,skyscraper:0.0824872614645,high rise:0.0318195116
8806aaaf4265ca8b182277d6c2520768l-m8xd-w1020_h770_q80.jpg	A room with a sink and a mirror	abstract_:0.0546875,others_:0.00390625	indoor:0.996252000332,wall:0.995690047741,empty:0.475707352161,renovation:0.475707352161,shelf:0.306813636371,art:0.207313406435,bathroom:0.189123728731,closet:0.161512832121,cabinet:0.1509769813,interior:0.141821498936,home:0.127972766349,design:0.113285505882
8806aaaf4265ca8b182277d6c2520768l-m9xd-w1020_h770_q80.jpg	A kitchen with stainless steel appliances	abstract_:0.0546875,indoor_doorwindows:0.66796875	cabinet:0.995368897915,indoor:0.993384063244,wall:0.986809968948,floor:0.976127326488,kitchen:0.955963671207,appliance:0.389998078346,kitchen appliance:0.135303005576
8806aaaf4265ca8b182277d6c2520768l-m6xd-w1020_h770_q80.jpg	A view of a hard wood floor	abstract_:0.0078125,indoor_doorwindows:0.67578125	floor:0.999071240425,wall:0.997645318508,indoor:0.996190667152,building:0.992028057575,wood:0.531161308289,hard:0.430216521025,house:0.430216521025,apartment:0.401522137456,flip:0.201215641423,home:0.197336183963,hotel:0.179756341781,mid:0.145326155288,parquet:0.128447450738,art:0.113661680255
8806aaaf4265ca8b182277d6c2520768l-m3xd-w1020_h770_q80.jpg	A tall building	building_street:0.86328125	building:0.998295724392,outdoor:0.948390007019,tall:0.580287396908,apartment building:0.361277014017,skyscraper:0.231603443623,tower:0.226838126779,downtown:0.106986233585,city:0.0387286378852
8806aaaf4265ca8b182277d6c2520768l-m0xd-w1020_h770_q80.jpg	A large white building	building_:0.18359375,building_doorwindows:0.46875	building:0.940837085247,furniture:0.20463488996,interior:0.20463488996,hall:0.180883883134,neoclassical:0.17005112469,art:0.140956350304,house:0.133321863545,museum:0.130424994817,lobby:0.125432560528,library:0.1253603295
8806aaaf4265ca8b182277d6c2520768l-m5xd-w1020_h770_q80.jpg	A kitchen with a toy in a room	indoor_:0.48828125	indoor:0.999678730965,wall:0.970061302185,ceiling:0.960831224918,floor:0.950257480145,office:0.624798059464,bedroom:0.594439327717,room:0.500936686993,cluttered:0.139001592994,lego:0.139001592994,art:0.084005190787,nursery:0.0657950954555,house:0.029132176778,game:0.0279417476467
8806aaaf4265ca8b182277d6c2520768l-m1xd-w1020_h770_q80.jpg	A group of palm trees on the side of a building	abstract_:0.00390625	building:0.959771692753,plant:0.64488774538,porch:0.511462986469,furniture:0.290797322989,colonnade:0.0780525133014,interior:0.0780525133014,garden:0.0407739000387,art:0.0336168069017,indoor:0.0334501570498,house:0.0328268944196,lobby:0.0306657183282
8806aaaf4265ca8b182277d6c2520768l-m10xd-w1020_h770_q80.jpg	A white sink sitting next to a shower	abstract_:0.03515625,others_:0.00390625,outdoor_:0.00390625	indoor:0.999719321728,wall:0.994497478008,bathroom:0.951932728291,ceiling:0.726128995419,sink:0.608873188496,kitchen:0.135012493144,tile:0.0395091814183
8806aaaf4265ca8b182277d6c2520768l-m4xd-w1020_h770_q80.jpg	A room filled with furniture and a blue chair	indoor_:0.99609375	indoor:0.998982846737,floor:0.995300769806,room:0.973516285419,ceiling:0.942040741444,chair:0.886627316475,furniture:0.761198461056,office:0.403872579336,area:0.375726014376,bedroom:0.362818211317,several:0.158880025148
